Breed,Description,Hearts,Thumbs Up
Golden Retriever,"The Golden Retriever is a large-sized breed of dog. Their fur coat varies from light Golden, Golden, Dark Golden to Cream. Their age span is about 10-12 years and they are one of the most widely adopted dog breeds.",14,27
Greater Swiss Mountain Dog,"The Greater Swiss Mountain Dog is a dog breed which was developed in the Swiss Alps. they are extremely devoted, protective, good-natured, alert, self-confident and fearless!",7,21
St. Bernard,"The St. Bernard or St Bernard is a breed of very large working dog from Swiss Alps and north Italy and Switzerland, originally bred for rescue. They have the cutest sad eyes which make you want to go give them a hug and never let go!",7,14
Dachshund,"The dachshund is a short-legged, long-bodied, hound-type dog breed. The standard size dachshund was developed to scent, chase, and flush out badgers and other burrow-dwelling animals.",3,12
Beagle,"The average life span of beagles is 12 – 15 years. Their temperament is gentle, excitable, amiable. They are also determined as well as intelligent!",8,11
Pomeranian,"Pomeranian are named after the region in Central Europe. Even as adults they are only about 20 cm long! Playful, Friendly, Extroverted, Active, Intelligent, Sociable, they are plain adorable!",8,9
Siberian Husky,"The Siberian Husky is a medium size, dense-coat working dog breed that originated in north-eastern Siberia.",8,5
Bearded Collie,"The Bearded Collie, or Beardie, is a herding breed of dog once used primarily by Scottish shepherds, but now mostly a popular family companion.",6,5
Pomeranian Husky,"A cross between the Pomeranian and Husky, the Pomsky is a small breed of dog with a fluffy coat, plush tail and pointed ears. Bonus? They are super cuddly!",9,5
Yorkshire Terrier,"The Yorkshire Terrier is a small dog breed of terrier type, developed during the 19th century in Yorkshire, England, to catch rats in clothing mills. They live upto 13 – 16 years and grow upto 17 cm.",9,4
